#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
1519990	79923	4722	123000	110801	-	-	NANOG	NDUFS3	-	CI-30	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519991	79923	51602	123000	119631	-	HSPC120	NANOG	NOP58	-	NOP5|NOP5/NOP58	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519992	79923	4905	123000	110960	-	-	NANOG	NSF	-	SKD2	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519993	79923	5015	123000	111055	-	-	NANOG	OTX2	-	CPHD6|MCOPS5	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519994	79923	167153	123000	127943	-	-	NANOG	PAPD4	-	GLD2|TUT2	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519995	79923	22976	123000	116625	-	CAGF28	NANOG	PAXIP1	-	CAGF29|PACIP1|PAXIP1L|PTIP|TNRC2	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519996	79923	55193	123000	120490	-	-	NANOG	PBRM1	-	BAF180|PB1	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519997	79923	65217	123000	122407	-	RP11-449J3.2	NANOG	PCDH15	-	CDHR15|DFNB23|USH1F	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519998	79923	84759	123000	124243	-	-	NANOG	PCGF1	-	2010002K04Rik|NSPC1|RNF3A-2|RNF68	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519999	79923	7703	123000	113497	-	-	NANOG	PCGF2	-	MEL-18|RNF110|ZNF144	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520000	79923	5110	123000	111141	-	-	NANOG	PCMT1	-	PIMT	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520001	79923	115294	123000	125425	-	-	NANOG	PCMTD1	-	-	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520002	79923	55251	123000	120542	-	RP11-476I15.3	NANOG	PCMTD2	-	C20orf36	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520003	79923	10081	123000	115390	-	-	NANOG	PDCD7	-	ES18|HES18	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520004	79923	5145	123000	111171	-	-	NANOG	PDE6A	-	CGPR-A|PDEA|RP43	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520005	79923	55066	123000	120384	-	-	NANOG	PDPR	-	PDP3	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520006	79923	23089	123000	116717	-	-	NANOG	PEG10	-	EDR|HB-1|MEF3L|Mar2|Mart2|RGAG3	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520007	79923	1911	123000	108233	-	-	NANOG	PHC1	-	EDR1|HPH1|MCPH11|RAE28	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520008	79923	5498	123000	111492	-	-	NANOG	PPOX	-	PPO|V290M|VP	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520009	79923	5523	123000	111515	-	-	NANOG	PPP2R3A	-	PPP2R3|PR130|PR72	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520010	79923	5529	123000	111521	-	-	NANOG	PPP2R5E	-	-	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520011	79923	84106	123000	123894	-	-	NANOG	PRAM1	-	PML-RAR|PRAM-1	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520012	79923	9055	123000	114517	-	-	NANOG	PRC1	-	ASE1	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520013	79923	63978	123000	122025	-	-	NANOG	PRDM14	-	PFM11	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520014	79923	55119	123000	120428	-	RP11-293A10.1	NANOG	PRPF38B	-	NET1	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520015	79923	5708	123000	111681	-	-	NANOG	PSMD2	-	P97|RPN1|S2|TRAP2	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520016	79923	55037	123000	120366	-	TRG15	NANOG	PTCD3	-	MRP-S39	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520017	79923	5782	123000	111746	-	tcag7.1075	NANOG	PTPN12	-	PTP-PEST|PTPG1	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520018	79923	5872	123000	111810	-	GIG4	NANOG	RAB13	-	-	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520019	79923	5887	123000	111824	-	RP11-131A5.1	NANOG	RAD23B	-	HHR23B|HR23B|P58	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520020	79923	5893	123000	111830	-	RP11-359B12.2	NANOG	RAD52	-	-	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520021	79923	9821	123000	115160	-	-	NANOG	RB1CC1	-	ATG17|CC1|FIP200|PPP1R131	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520022	79923	5929	123000	111864	-	-	NANOG	RBBP5	-	RBQ3|SWD1	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520023	79923	84991	123000	124416	-	RP11-414H17.9	NANOG	RBM17	-	SPF45	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520024	79923	5936	123000	111871	-	RP11-658F2.8	NANOG	RBM4	-	LARK|RBM4A|ZCCHC21|ZCRB3A	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520025	79923	6045	123000	111972	-	GS1-120K12.1	NANOG	RNF2	-	BAP-1|BAP1|DING|HIPI3|RING1B|RING2	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520026	79923	6120	123000	112040	-	HUSSY-17	NANOG	RPE	-	RPE2-1	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520027	79923	6169	123000	112088	-	-	NANOG	RPL38	-	L38	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520028	79923	23223	123000	116829	-	RP11-452K12.13-007	NANOG	RRP12	-	KIAA0690	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520029	79923	864	123000	107312	-	RP3-398I9.1	NANOG	RUNX3	-	AML2|CBFA3|PEBP2aC	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1520030	79923	6299	123000	112206	-	-	NANOG	SALL1	-	HEL-S-89|HSAL1|Sal-1|TBS|ZNF794	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
