#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
3734298	203228	6745	128456	112623	-	PSEC0262	C9orf72	SSR1	ALSFTD|FTDALS	TRAPA	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734299	203228	10419	128456	115688	-	-	C9orf72	PRMT5	ALSFTD|FTDALS	HRMT1L5|IBP72|JBP1|SKB1|SKB1Hs	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734300	203228	2108	128456	108409	-	-	C9orf72	ETFA	ALSFTD|FTDALS	EMA|GA2|MADD	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734301	203228	378	128456	106873	-	-	C9orf72	ARF4	ALSFTD|FTDALS	ARF2	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734302	203228	27037	128456	117968	-	-	C9orf72	TRMT2A	ALSFTD|FTDALS	HTF9C	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734303	203228	10049	128456	115360	-	tcag7.555	C9orf72	DNAJB6	ALSFTD|FTDALS	DJ4|DnaJ|HHDJ1|HSJ-2|HSJ2|LGMD1D|LGMD1E|MRJ|MSJ-1	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734304	203228	9782	128456	115126	-	-	C9orf72	MATR3	ALSFTD|FTDALS	ALS21|MPD2|VCPDM	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734305	203228	29090	128456	118859	-	HSPC154	C9orf72	TIMM21	ALSFTD|FTDALS	C18orf55|TIM21	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734306	203228	7353	128456	113200	-	-	C9orf72	UFD1L	ALSFTD|FTDALS	UFD1	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734307	203228	55898	128456	120986	-	-	C9orf72	UNC45A	ALSFTD|FTDALS	GC-UNC45|GCUNC-45|GCUNC45|IRO039700|SMAP-1|SMAP1|UNC-45A	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
